position,stat,model_type,algorithms,n_features,n_train_rows,mae_v5,accuracy,auc,pos_class_frac,degenerate_pob,n_eval_predictions
DST,defensive_tds,pob,"xgboost,catboost,random_forest",42,2686,,0.9323827046918123,0.5201581372558891,0.06761729530818768,0,2174
DST,defensive_tds,stat,"xgboost,catboost,random_forest",42,2686,0.12330604014930822,,,,0,2174
DST,fumble_recoveries,pob,"xgboost,catboost,random_forest",42,2686,,0.5947562097516099,0.5236913709311579,0.3877644894204232,0,2174
DST,fumble_recoveries,stat,"xgboost,catboost,random_forest",42,2686,0.6068385443350018,,,,0,2174
DST,interceptions,pob,"xgboost,catboost,random_forest",42,2686,,0.5855565777368905,0.6163590347212342,0.4319227230910764,0,2174
DST,interceptions,stat,"xgboost,catboost,random_forest",42,2686,0.7384407792215245,,,,0,2174
DST,points_allowed,pob,"xgboost,catboost,random_forest",42,2685,,0.6554737810487581,0.7162487708947887,0.48022079116835326,0,2174
DST,points_allowed,stat,"xgboost,catboost,random_forest",42,2686,7.340890761783427,,,,0,2174
DST,sacks,pob,"xgboost,catboost,random_forest",42,2686,,0.6338546458141674,0.6650005118755118,0.45538178472861085,0,2174
DST,sacks,stat,"xgboost,catboost,random_forest",42,2686,1.3657303117519364,,,,0,2174
DST,safeties,pob,"xgboost,catboost,random_forest",42,2686,,0.9760809567617296,0.46683100123250926,0.02391904323827047,1,2174
DST,safeties,stat,"xgboost,catboost,random_forest",42,2686,0.045698585977141964,,,,0,2174
K,fg_att,pob,"xgboost,random_forest",75,2715,,0.6408739189804279,0.6657553741292785,0.46745562130177515,0,2197
K,fg_att,stat,"xgboost,random_forest",75,2715,1.0105344632038062,,,,0,2197
K,fg_made,pob,"xgboost,random_forest",75,2715,,0.6012744651797907,0.6434118629908103,0.4551661356395084,0,2197
K,fg_made,stat,"xgboost,random_forest",75,2715,0.9929501782475266,,,,0,2197
K,pat_made,pob,"xgboost,random_forest",75,2715,,0.6199362767410105,0.6659255238626405,0.4806554392353209,0,2197
K,pat_made,stat,"xgboost,random_forest",75,2715,1.0899049824190046,,,,0,2197
QB,passing_interceptions,pob,"xgboost,lightgbm,catboost",88,3181,,0.6066978193146417,0.6418745067565973,0.38901869158878505,0,2568
QB,passing_interceptions,stat,"xgboost,lightgbm,catboost",88,3181,0.6638915036021504,,,,0,2568
QB,passing_tds,pob,"xgboost,lightgbm,catboost",88,3181,,0.610981308411215,0.6501378584241841,0.433411214953271,0,2568
QB,passing_tds,stat,"xgboost,lightgbm,catboost",88,3181,0.8150974961879833,,,,0,2568
QB,passing_yards,pob,"xgboost,lightgbm,catboost",88,3181,,0.6016355140186916,0.6498800755423918,0.4855919003115265,0,2568
